,i,j,distance
172,976,981,17.44370068207811
173,976,3088,17.281694995990176
174,981,916,70.57356196598217
175,982,987,4.426567126149395
176,982,3239,4.053120353875333
177,987,6294,3.2799226414496294
178,988,995,18.46671465910219
179,995,6531,1.9318208081863215
180,1037,4107,3.153173262117822
181,1038,1042,14.842642914585404
182,1038,4725,2.139632550408458
183,1043,1044,3.4972793568885066
184,1044,1048,13.547275820486893
185,1048,3866,8.916719250307443
186,1048,4038,2.494632916467562
187,1049,1051,11.534210695646614
188,1051,3870,103.38116773979135
189,1059,4182,127.30144408433524
190,1064,1066,15.409474964291665
191,1064,1089,11.294103203890774
192,1066,778,12.935982622175722
193,1066,1094,3.7242414298898163
194,1078,3724,2.5825710414723746
195,1089,1094,7.8753822187424865
196,1089,5497,8.296478957092496
197,1094,1096,1.2229548475630316
198,1096,3726,4.97263640310506
199,1097,774,6.614800263621595
200,1104,1112,15.46002101534454
201,1112,3774,1.9883371571469588
202,1113,1124,87.17321113729409
203,1124,6710,7.926403688807006
204,1125,1126,4.151757435603715
205,1125,1130,12.832318846595342
206,1126,1130,9.110919312382332
207,1126,3186,19.053921842834995
208,1130,4217,4.883385163830855
209,1138,1143,28.641966209605457
210,1143,1113,7.945934512669752
211,1145,3689,16.95725421057717
212,1146,1154,19.676662259896304
213,1154,4248,10.238341707552335
214,1155,1160,41.807436963613114
215,1155,4286,76.62391708145924
216,1160,4257,15.103772665360996
217,1161,1162,8.413776546441285
218,1161,4399,31.81016666436598
219,1162,4434,3.45402257310471
220,1163,1173,14.658084985920752
221,1173,742,11.76500005370352
222,1178,4405,3.807972923145013
223,1179,1180,26.713017384274146
224,1180,1207,28.842183355919783
225,1181,4957,45.26938032770466
226,1205,4695,28.38978952027329
227,1207,1230,20.29567673508268
228,1207,4695,10.48193564822071
229,1208,1211,3.9091499414059068
230,1231,1251,23.786097768000047
231,1252,1255,11.545935550590158
232,1252,1740,14.049462324673017
233,1255,1301,17.07110412350125
234,1261,1589,22.118877393553745
235,1262,123,6.9132663860238805
236,1262,1280,8.452968214456488
237,1280,1311,3.4641383350013197
238,1281,1287,5.830247723782236
239,1287,1288,3.353823707097518
240,1288,1598,9.874996144885726
241,1301,1310,12.252182181313264
242,1301,3305,6.2178773869784685
243,1311,1320,11.048718497768474
244,1311,1598,42.21931279409483
245,1320,1281,11.401105724293924
246,1337,5035,9.862664810801068
247,1354,1522,9.571368440677649
248,1366,1439,7.7054784031926085
249,1376,1380,8.094390404542152
250,1376,1392,28.550086697705847
251,1381,1383,12.532963729602566
252,1383,1400,63.14413089491151
253,1384,1391,21.989251827976908
254,1391,1444,3.316762105584824
255,1392,1383,17.089423757451144
256,1407,1391,30.68966652259492
257,1418,1407,15.798307359830712
258,1418,1421,17.25334355540059
259,1421,1384,7.0787899820833475
260,1422,1366,20.787974632220582
261,1439,1376,3.758281656812632
262,1444,1459,25.67862973976537
263,1459,800,43.29751729971963
264,1460,1422,54.67262575512714
265,1533,1546,8.300196738863391
266,1589,1651,73.93668337130651
267,1598,3307,34.88836129552438
268,1625,5063,8.451419436132793
269,1626,1634,10.273683519654378
270,1634,982,12.899782443917376
271,1634,996,7.228502370921556
272,1650,643,5.0764424298497035
273,1651,1652,6.810133593301265
274,1652,1734,27.06025004412612
275,1653,1252,65.02265867162046
276,1734,988,68.95067568870087
277,1740,1781,65.51176434769503
