,i,j,distance,street
323,18901,10006,8.437215230819648,3rd Avenue
324,5696,1781,7.934719732770823,Amsterdam Avenue
325,20667,20668,0.28313612438612284,Hudson Street / Beach Street (West)
326,13856,11855,2.139632550408458,12th Avenue
327,10310,22020,9.869821384760757,East 45th Street
328,7101,7102,3.7742168502408546,FDR Drive
329,11677,11678,15.295767164427735,Seaman Avenue
330,11063,11062,0.2933103650763331,Central Park West 100th Approach
331,4332,4331,1.6559947267934392,Fort George Avenue
332,11592,11593,9.374675843223883,East 99th Street
333,4316,4317,26.04333679128158,West 153rd Street
334,11329,1487,7.938633831049352,Amsterdam Avenue
335,9054,17674,2.44601893087858,FDR Drive
336,8046,8047,0.33168469793112165,West Drive
337,2262,22248,0.6345974299311894,York Avenue
338,12700,12701,2.5046990692963487,Harlem River Drive
339,13629,14649,5.806080257811319,West 72nd Street
340,21505,21506,0.4987057212118183,Riverside Drive
341,2175,2176,14.112326807478933,West 183rd Street
342,2960,2961,1.7143690294114597,Central Park Driveway
343,9528,9529,0.5026136291336285,unknown
344,6350,15717,1.1165955865309305,West Street
345,21730,21731,0.2623386946116659,East Broadway
346,15366,3814,7.704191713688043,Broadway
347,10324,10325,14.53963193252914,East 63rd Street
348,5687,5688,9.38950325449549,Pinehurst Avenue
349,11537,1163,1.6644958735418074,East 78th Street
350,1692,3849,8.33482805391516,Pleasant Avenue
351,17860,17861,3.6414275495543555,Saint Nicholas Avenue
352,3044,3045,3.7988515872452306,97th Street Transverse
353,15497,15498,2.2702315640771853,Edgecombe Avenue
354,22078,22079,6.3826814486143455,5th Avenue
355,15717,15718,5.687078050569588,West Street
356,20,21,5.487195436768191,La Salle Street
357,3107,3108,6.319288076531706,East 1st Street
358,12937,12936,1.314210479038869,Madison Street
359,4906,4905,1.4021528321908987,River Road
360,2849,2850,0.5015434860025598,unknown
361,5176,5177,0.7266923764645025,East 16th Street
362,3676,3675,8.402730327241034,Post Avenue
363,14411,5214,7.895024494116132,3rd Avenue
364,8570,9018,7.004146685375797,East 37th Street
365,7940,7941,2.6927260749529838,11th Avenue
366,3743,3744,3.701512023006564,North End Avenue
367,11479,10333,22.872100691722448,East 55th Street
368,1746,1745,2.5858934631663586,Henry Street
369,3132,16296,15.504802061827483,West 48th Street
370,2217,2218,1.4742158375710117,20th Street Loop
371,18401,6058,5.294598193557234,FDR Drive
372,14398,22458,1.2341301741327895,Park Avenue South
373,5746,5747,0.26197020195173853,West 161st Street
374,1944,10743,1.0935735916004594,Amsterdam Avenue
375,21747,21748,2.7254457691675573,Paladino Avenue
376,4623,4622,16.034153879704448,East 5th Street
377,4331,4332,1.6559947268393944,Fort George Avenue
378,15846,15847,1.4700350703691685,Broadway
379,16914,16915,1.4254097243209893,West 125th Street
380,13271,2425,16.871707895852477,10th Avenue
381,3840,3841,0.3963553667374282,Ericsson Place
382,533,10836,1.5361100527008356,unknown
383,15814,15815,6.6860064267224075,Broadway
384,562,563,3.627527843842189,unknown
385,3541,11744,8.675265548434732,Wadsworth Avenue
386,9704,8172,9.747563224301397,West 75th Street
387,4269,4270,4.1877291592696535,unknown
388,8935,8936,4.483404428358068,West Broadway
389,11585,11586,15.848029497887708,East 99th Street
390,1419,5379,7.960624079945494,Broadway
391,15530,15531,0.9277123025221962,East 61st Street
392,12082,8935,7.432435747852642,West Broadway
393,3693,3694,10.146597344721824,West 33 Street
394,11328,11934,0.6905839989918101,5th Avenue
395,14645,14646,0.7787522791963698,West 72nd Street
396,21751,21752,0.6440897647630821,Paladino Avenue
397,6626,6627,7.942791906473305,Broome Street
398,7555,7556,3.244901358411857,Harlem River Drive
399,1031,8650,6.991999340864381,Delancey Street
400,2379,19963,5.364158818131954,1st Avenue
401,17185,9717,9.23929450144153,Broadway
402,7553,2587,1.1363009945640448,Saint Nicholas Place
403,11237,11238,1.711062457107958,East Drive
404,1989,1990,25.72651356185463,West 71st Street
405,3799,3798,1.1721480524958048,West 141st Street
406,3636,4961,5.446309063768371,Fort Washington Avenue
407,11528,17891,0.5670255898584178,Lexington Avenue
408,18105,10892,6.770498570855303,Avenue D
409,2695,13284,8.43323486307762,10th Avenue
410,7196,2338,11.946395540265557,FDR Drive
411,20672,20673,0.6625913853835009,Beach Street (East)
412,2144,8671,0.6953910247951783,Bowery
413,1711,1289,13.534939538247196,Mulberry Street
414,16977,16976,4.868602341840039,65th Street Transverse
415,65,66,4.14253344083461,unknown
416,10645,21438,8.566920071885733,West 158th Street
417,8077,780,4.310898302272285,Broome Street
418,2893,10519,1.155100673005916,Riverside Drive
419,9689,11597,1.4631197944944918,East 97th Street
420,5620,5621,14.196906479121568,East 116th Street
421,8496,4363,7.030745386820997,Varick Street
422,3749,3751,0.6675554178295391,North End Avenue
423,22525,22526,0.38818536270326737,Varick Street
424,6980,6981,0.9217849987871738,FDR Drive
425,11912,19593,1.0149162080738547,1st Avenue
426,20610,9123,3.648220417291127,Essex Street
427,8675,2685,12.553167605619109,South Street
428,2603,2604,32.25364667899907,Edgecombe Avenue
429,1526,1527,1.9661563103076583,East Drive
430,3695,3696,7.373625754031522,West 33 Street
431,17434,17435,0.588964750367483,Central Park West 90th Approach
432,2186,2185,26.254423171963403,West 131st Street
433,2325,4224,8.376680341188317,Amsterdam Avenue
434,2627,14033,27.40102147705205,West 15th Street
435,3040,3041,5.857004505382596,Claremont Avenue
436,12283,12282,1.0028039414793748,Central Park 102 Center Drive
437,1082,1083,0.8663951816525794,6th Avenue
438,16590,16591,1.2546688817577911,Hudson Street / Varick Street / Canal Street (East)
439,18566,18567,1.1118769488479086,unknown
440,16094,14495,14.160793217703665,East 119th Street
441,9031,9032,3.2419683335217706,FDR Drive
442,5184,3827,8.128323240951039,Broadway
443,19286,4890,4.409928262671558,8th Avenue
444,16820,16821,1.283864181211758,Lincoln Tunnel Expressway
445,4090,4091,2.317408812074031,unknown
446,457,458,1.0061938355366533,unknown
447,16317,20161,2.6557625310104314,11th Avenue
448,4074,4075,2.611103028477673,East 112th Street
449,2552,1848,7.644473384999695,Bleecker Street
450,16890,11049,0.2754987739686754,unknown
451,17308,17309,0.2443019074329402,unknown
452,3802,16496,7.787860902507036,Malcolm X Boulevard
453,11745,11746,1.1539598323989213,West 187th Street
454,11223,11224,3.4662065873436703,East Drive
455,15185,19854,1.0347418889812636,West 164th Street
456,4644,17951,0.7993131066105118,3rd Avenue
457,21549,21550,6.224324519895037,Delancey Street
458,21771,21772,0.5454467253506015,Park Row
459,4058,4059,0.5130985026895147,West 16th Street
460,3306,14161,27.37252632205303,West 86th Street
461,1008,20233,2.008314013725206,11th Avenue
462,5443,5444,1.317623146362056,East 47th Street
463,8637,9865,7.412364897797224,Hudson Street
464,16491,16492,1.4387847304407861,West 143rd Street
465,11554,2259,8.003745318501561,2nd Avenue
466,12249,11209,0.632057457604704,West Drive
467,1048,1049,10.276385913106783,Thomas Street
468,3806,11647,7.918811493153148,Frederick Douglass Boulevard
469,2880,2881,1.0125200590597736,Riverside Drive
470,4336,4335,1.7159062479813012,Fort George Avenue
471,8370,8371,1.2711474105010616,Riverside Drive
472,8806,913,4.9915582519190975,Hanover Square
473,1044,1045,2.997690348816657,Thomas Street
474,2491,2492,1.0220086689418586,First Avenue Loop
475,8158,8159,0.5236990802349987,Forsyth Street
476,5019,5020,0.5413741085886187,West 122nd Street
477,1271,8164,1.0085113962097974,Saint James Place
478,5091,5092,6.072731342395034,Bond Street
479,7972,7973,11.90178252148815,West 38th Street
480,15129,5624,21.672125933203045,East 116th Street
481,3609,17936,0.8796150638440293,3rd Avenue
482,7858,7857,0.8684721418115559,97th Street Transverse
483,21013,18267,0.5707969071710215,West Street
484,19577,21760,1.0138712008687525,East 123rd Street
485,2078,2079,1.3769107278009907,Fort Charles Place
486,10432,10433,4.112911905009038,Henry Hudson Parkway
487,15180,15181,4.644972349350438,Edgecombe Avenue
488,9936,6419,1.2455708826473062,12th Avenue
489,607,608,0.9936099906721757,unknown
490,480,481,0.5451171457129429,unknown
491,3481,3482,1.0543068746239843,West 26th Street
492,15250,19004,1.3232013464132921,East 29th Street
493,17908,6026,0.21472750981880914,unknown
494,221,7678,6.273059037771988,FDR Drive
495,3339,3340,3.632992077120626,Harlem River Drive
496,15175,15174,1.5471602828441844,Edgecombe Avenue
497,2308,2309,0.525677048294227,East 73rd Street
498,5197,5198,13.37845444358677,East 65th Street
499,18510,18511,0.446531389684964,unknown
500,16801,5633,3.9506842614734907,Grand Street
501,18729,18730,0.6405555167771124,Holland Tunnel
502,10565,10566,1.5012229728596014,Riverside Drive
503,12822,12823,2.78390025302771,Henry Hudson Parkway
