,node,Lat,Lon
241,241,40.7827283,-73.9440258
242,242,40.782753,-73.9439574
243,243,40.7827974,-73.94385
244,244,40.7828196,-73.9438206
245,245,40.7828652,-73.9437636
246,246,40.794774,-73.9304732
247,247,40.7946625,-73.9307535
248,248,40.7944269,-73.9311763
249,249,40.7943981,-73.9312357
250,250,40.7943801,-73.9312832
251,251,40.7943711,-73.9313426
252,252,40.7943747,-73.9314043
253,253,40.7943873,-73.9314685
254,254,40.7944004,-73.9315386
255,255,40.7944167,-73.9316064
256,256,40.7944363,-73.9316924
257,257,40.779478,-73.973571
258,258,40.7793542,-73.9734038
259,259,40.7233639,-74.0077632
260,260,40.7226062,-74.0066998
261,261,40.7225695,-74.0066545
262,262,40.7225355,-74.0066172
263,263,40.7225091,-74.0065926
264,264,40.7224812,-74.0065725
265,265,40.7224462,-74.0065515
266,266,40.7224157,-74.0065373
267,267,40.7223792,-74.0065252
268,268,40.7223218,-74.0065142
269,269,40.7222655,-74.0065082
270,270,40.7222089,-74.0065056
271,271,40.72216,-74.0065082
272,272,40.7221085,-74.0065135
273,273,40.722055,-74.0065255
274,274,40.721998,-74.0065419
275,275,40.7219453,-74.0065638
276,276,40.7218938,-74.0065913
277,277,40.7218484,-74.0066224
278,278,40.7218072,-74.0066608
279,279,40.7217593,-74.0067161
280,280,40.7217241,-74.0067668
281,281,40.7916741,-73.9647071
282,282,40.7916004,-73.9645142
283,283,40.7915835,-73.9644432
284,284,40.7915742,-73.9643831
285,285,40.791564,-73.9642941
286,286,40.7915611,-73.9642014
287,287,40.7915668,-73.9641147
288,288,40.7915781,-73.9640386
289,289,40.7916471,-73.9637096
290,290,40.7917145,-73.9633695
291,291,40.7917367,-73.9632143
292,292,40.7917411,-73.963139
293,293,40.7917423,-73.9630648
294,294,40.79174,-73.9629862
295,295,40.791735,-73.9629182
296,296,40.791729,-73.9628667
297,297,40.7917186,-73.9628103
298,298,40.7082794,-74.0154267
299,299,40.7078839,-74.0155846
300,300,40.7078198,-74.0156048
301,301,40.7077505,-74.0156213
302,302,40.7076841,-74.0156302
303,303,40.7076216,-74.0156323
304,304,40.7075585,-74.0156285
305,305,40.7074936,-74.0156171
306,306,40.7074261,-74.015596
307,307,40.707372,-74.0155691
308,308,40.7073086,-74.0155204
309,309,40.7072608,-74.0154667
310,310,40.7072121,-74.015401
311,311,40.7071139,-74.0152333
312,312,40.7070781,-74.0151734
313,313,40.7070406,-74.015121
314,314,40.7069918,-74.0150685
315,315,40.7069397,-74.0150235
316,316,40.8144622,-73.9353726
317,317,40.8147789,-73.9361558
318,318,40.72077,-74.0080302
319,319,40.7207495,-74.0080596
320,320,40.7207315,-74.0081001
321,321,40.7207178,-74.0081447
322,322,40.7207094,-74.0081924
323,323,40.720702,-74.008252
324,324,40.7206909,-74.0083183
325,325,40.7206788,-74.0083662
326,326,40.7206615,-74.0084228
327,327,40.7206456,-74.008466
328,328,40.7206385,-74.0073702
329,329,40.7206017,-74.0072913
330,330,40.7205555,-74.0071783
331,331,40.7205279,-74.0071051
332,332,40.7205079,-74.0070455
333,333,40.7204904,-74.0069747
334,334,40.7204753,-74.006894
335,335,40.7204645,-74.0068122
336,336,40.7204501,-74.006671
337,337,40.7237578,-74.0079297
338,338,40.7238155,-74.0078576
339,339,40.7238848,-74.0077725
340,340,40.7239218,-74.0077261
341,341,40.7239335,-74.0077114
342,342,40.7241156,-74.0074467
343,343,40.7241747,-74.0073595
344,344,40.7242373,-74.007283
