,i,j,distance,street
164,20075,17111,2.8836694600799238,8th Avenue
165,10319,10118,8.042789155200209,10th Avenue
166,5961,16166,7.995428212061741,East 39th Street
167,13191,12342,8.518493145358745,West 184th Street
168,3117,3967,12.536432638349778,Hillside Avenue
169,11720,15290,16.984604745731296,Saint Nicholas Avenue
170,19755,10982,3.615333545471861,Malcolm X Boulevard
171,1362,8170,5.052880059290137,West 73rd Street
172,13259,12010,9.18899171696929,Nagle Avenue
173,4628,4630,21.45479354966646,East 5th Street
174,15400,14113,15.444911982489737,East 123rd Street
175,1412,1413,6.183763412034631,Peck Slip
176,3998,4002,9.8170672205455,East 9th Street
177,5995,12803,143.21063338308474,Henry Hudson Parkway
178,7041,7044,13.249166118520028,FDR Drive
179,1513,1514,13.60002087129644,West 140th Street
180,19769,5868,2.272324975315374,Malcolm X Boulevard
181,5853,1059,7.964898018513981,Queensboro Bridge Exit
182,5850,15527,7.932597340134985,Lexington Avenue
183,5623,5624,15.439556669046311,East 116th Street
184,8769,5608,6.306219274147777,Broadway
185,3536,11409,17.679827216584854,Seaman Avenue
186,8601,6074,12.880751990812486,Lispenard Street
187,14578,18326,9.122750398023712,Rector Place
188,944,945,8.008999235859324,Broadway
189,931,932,9.151477089257154,Cabrini Boulevard
190,5255,5517,7.589431242562529,East 8th Street
191,1549,348,6.396111950662962,West 133rd Street
192,10402,10404,19.09184281860628,West 52nd Street
193,5059,3656,8.194044239557217,University Place
194,1768,19091,3.545195646119504,Adam Clayton Powell Jr. Boulevard
195,7292,7284,3.657846519364959,unknown
196,2105,10484,8.715959358250002,West End Avenue
197,12113,8215,2.593320922382792,Park Avenue
198,3516,1325,7.266623029598364,Hester Street
199,10330,5843,7.939551723739334,5th Avenue
200,15974,2608,7.874619838558804,Edgecombe Avenue
201,8909,3553,4.882165315657372,West Broadway
202,1398,1399,15.523810951602782,East 57th Street
203,1995,14411,8.00988011437537,3rd Avenue
204,2565,2566,21.751396434791285,East 74th Street
205,20576,16792,4.143880596303071,East 125th Street
206,3544,5135,8.669657375704942,Audubon Avenue
207,4813,5894,14.846587086429055,Vesey Street
208,2349,2353,27.337150229813144,West 123rd Street
209,2177,2178,11.895939613202847,West 183rd Street
210,13657,2702,7.932758880200027,West Street
211,10377,17759,7.876804772486828,7th Avenue
212,10383,10404,8.030421868359227,Broadway
213,2691,2266,15.899225490499722,Henry Street
214,6291,6305,6.43651576517564,Greenwich Street
215,9123,9124,9.498854967914239,Essex Street
216,15730,16148,7.8047125624906455,3rd Avenue
217,10787,10789,22.449417272803654,Cabrini Boulevard
218,13479,5108,7.958921897272255,Broadway
219,3224,10238,7.782911655543373,1st Avenue
220,6574,17,10.069729413196653,East 12th Street
221,7292,9820,8.415764113117403,York Avenue
222,3944,9701,8.52265898811483,Broadway
223,1212,5954,13.810278588540923,Horatio Street
224,982,10927,7.690082886317941,Greenwich Avenue
225,778,780,11.397417875317577,Pitt Street
226,10927,14031,4.794913132281473,8th Avenue
227,985,986,13.94783521788282,West 173rd Street
228,3597,13038,6.8576448909252585,Broadway
229,8456,3485,6.790113166999618,Centre Street
230,4493,4494,15.455511032278135,East 93rd Street
231,6552,5271,12.742318198895969,East 13th Street
232,7735,7745,16.97173068683819,Margaret Corbin Drive
233,929,5062,7.952630783727613,Audubon Avenue
234,1077,1715,9.03116909800847,Mulberry Street
235,4139,2544,7.971946401425566,Pleasant Avenue
236,4499,12049,13.221871870833857,Worth Street
237,15765,4634,23.12447308320295,1st Avenue
238,2678,8056,7.179819431636092,John Street
239,10443,94,3.7514434014336886,West 79th Street
240,5700,5701,15.458614022406458,East 100th Street
241,15708,8650,1.8044037678106175,Allen Street
242,1260,4583,8.527366000166566,Grove Street
243,19159,19166,2.3305920312534862,Saint Nicholas Avenue
244,5404,3021,27.471631574131344,West 70th Street
245,9130,8091,7.163480426876391,Delancey Street
246,18810,2129,4.747804144556989,East Houston Street
247,6210,9890,13.996466128049418,West Street
248,8211,8212,42.44764669824635,Park Avenue Tunnel
249,4268,7045,28.097655390261494,FDR Drive
250,8289,8290,1.1953404874795681,Riverside Drive
251,8597,8601,4.00222163104976,West Broadway
252,3942,3943,18.08063864206007,West 76th Street
253,10202,10170,1.91531780053836,West 30th Street / West 33 Street
254,3093,3094,12.875462139305766,West 92nd Street
255,13113,2552,7.625460533153788,Bleecker Street
256,5019,2357,8.096328072187669,Broadway
257,4418,4420,1.8332194041500283,West 162nd Street
258,20767,2151,3.3886057088414816,Columbus Avenue
259,28,21442,0.9949811442234933,South Street
260,4153,4155,8.12842428549175,3rd Avenue
261,4323,4326,8.335643183984445,East End Avenue
262,1306,5258,5.1224356865084095,Amsterdam Avenue
263,2693,9946,13.03332530695779,East 51st Street
264,7734,16746,2.577300674688344,Henry Hudson Parkway
265,1136,1138,7.355805497847453,7th Avenue South
266,8986,4793,6.991015884447478,unknown
267,3472,4716,7.759781882439595,11th Avenue
268,20825,11818,2.2675542680000476,unknown
269,6670,6673,11.541742634592472,unknown
270,5554,5550,57.189953228479226,65th Street Transverse
271,5696,1781,7.934719732770823,Amsterdam Avenue
272,2916,3142,13.554158188040638,West 150th Street
273,4399,2555,7.661148870978667,Washington Square South
274,12905,5206,8.001040533921092,Malcolm X Boulevard
275,854,858,27.445331604999364,West 29th Street
276,3098,3100,27.1909058332303,West 92nd Street
277,5384,3903,7.850974198793277,Edgecombe Avenue
278,11329,1487,7.938633831049352,Amsterdam Avenue
279,1256,5438,13.682026586588536,Perry Street
280,8923,16129,12.37890008869829,Chambers Street
281,3218,3219,10.869711365481995,West 152nd Street
282,13757,5101,5.016814546705718,MacDougal Street
283,13629,14649,5.806080257811319,West 72nd Street
284,6061,6943,15.023302842113875,FDR Drive
285,2175,2176,14.112326807478933,West 183rd Street
286,12418,12412,2.7889465678877934,Main Street
287,3441,3442,1.519000133205912,West 121st Street
288,8661,2004,30.71242773791218,Henry Street
289,6626,1030,9.92728340523808,Forsyth Street
290,15366,3814,7.704191713688043,Broadway
291,2132,2133,11.307825841747325,West 154th Street
292,4715,4716,27.419517091937927,West 25th Street
293,987,5778,8.07439174453741,Saint Nicholas Avenue
294,1692,3849,8.33482805391516,Pleasant Avenue
295,8642,18849,3.8758255007441367,Delancey Street
296,4327,4357,23.551290725644687,Fort George Avenue
297,13796,921,7.970761930860931,Amsterdam Avenue
298,2592,2601,37.31201453276526,Edgecombe Avenue
299,6202,3472,7.671177396321055,11th Avenue
300,18497,3680,9.20734222677801,West Street
301,8908,15016,14.83278395799165,Bethune Street
302,5787,5788,15.449832544840175,East 109th Street
303,1399,1398,15.523810951604897,East 57th Street
304,1041,14546,4.8044882272850895,Morningside Avenue
305,11492,11495,21.640644173865603,East 72nd Street
306,4538,2710,16.46817167954365,Laguardia Place
307,3087,3090,7.620360544719154,Columbus Avenue
308,3938,3939,22.9475990465405,East 92nd Street
309,3491,852,7.876646436358131,5th Avenue
310,11479,10333,22.872100691722448,East 55th Street
311,20373,3540,3.61946977904719,2nd Avenue
312,9570,9569,13.927066509594303,East 120th Street
313,3360,16492,7.916048241921116,Adam Clayton Powell Jr. Boulevard
314,1693,20470,4.552228513588995,1st Avenue
315,6293,6310,2.4497382301778647,Canal Street
316,1389,5628,9.956188662075677,Dyckman Street
317,10092,7940,13.064838751799341,West 39th Street
318,3616,4069,15.725216674107202,Mount Carmel Place
319,2559,2562,31.171969253627246,East 74th Street
320,14658,14680,3.519054894317171,West End Avenue
321,1911,15561,27.35928205020609,West 90th Street
322,1207,1208,18.522707455035857,East 15th Street
323,14638,16328,16.72773429516103,West 54th Street
324,9438,9439,1.6776302693092646,West 138th Street
325,13271,2425,16.871707895852477,10th Avenue
326,1522,1538,29.850996328913915,East Drive
327,533,10836,1.5361100527008356,unknown
328,4764,13604,7.97764453678239,West End Ave.
329,3541,11744,8.675265548434732,Wadsworth Avenue
330,3855,14200,7.645342052002696,Broadway
331,9704,8172,9.747563224301397,West 75th Street
332,941,942,7.036067194938031,Broadway
333,13546,13552,8.042327156640264,1st Avenue
334,12945,4894,8.568743105049201,6th Avenue
335,1419,5379,7.960624079945494,Broadway
336,1064,9716,7.93355643040837,Columbus Avenue
337,20178,6415,2.8612912504531343,11th Avenue
338,257,883,32.37864448380681,Central Park West
339,3173,14362,7.752444766269933,Convent Avenue
340,14649,14657,8.942854668835823,Riverside Drive
341,9698,9699,22.837287049235666,East 84th Street
342,11016,6096,4.123551187378669,Frawley Circle
343,13600,13629,5.600383780680432,West 72nd Street
344,16261,4573,31.096116828963783,West 40th Street
345,3167,3169,27.359235320888914,West 97th Street
346,17185,9717,9.23929450144153,Broadway
347,5958,12554,13.98333374377983,East 34th Street
348,5753,4254,8.591481769665208,Madison Avenue
349,21623,4991,11.673085457560223,Madison Street
350,1989,1990,25.72651356185463,West 71st Street
