,node,Lat,Lon
138,16607,40.7211998,-74.0079995
139,8416,40.8328285,-73.9459609
140,16610,40.7700638,-73.9929745
141,19375,40.7988136,-73.9618737
142,2564,40.770106,-73.9574143
143,233,40.758788,-73.998646
144,234,40.7593876,-73.9969538
145,235,40.7588387,-73.9975963
146,236,40.7823141,-73.944371
147,16622,40.7660319,-73.9833766
148,3554,40.719782,-74.0068
149,10749,40.8462256,-73.932258
150,16627,40.7648393,-73.9805314
151,245,40.7828652,-73.9437636
152,246,40.794774,-73.9304732
153,16632,40.7636462,-73.9776851
154,16634,40.7705276,-73.9940999
155,8443,40.7066286,-74.0162324
156,16636,40.7533963,-73.9983948
157,16639,40.753547,-73.9987459
158,8448,40.7048317,-74.0169087
159,16641,40.7542954,-73.9984594
160,258,40.7793542,-73.9734038
161,16643,40.7545834,-73.9991497
162,15385,40.7679183,-73.9857166
163,929,40.848038,-73.932849
164,16647,40.754886,-73.9977809
165,8456,40.713135,-74.004059
166,16649,40.7552565,-73.9986589
167,6871,40.7070051,-74.0016181
168,2191,40.8341102,-73.941109
169,3766,40.8384885,-73.9418259
170,16656,40.758981,-73.9959432
171,8465,40.71148,-74.0078702
172,8466,40.7119926,-74.0081225
173,18831,40.7268066,-73.9994351
174,12004,40.7385065,-73.9917962
175,280,40.7217241,-74.0067668
176,281,40.7916741,-73.9647071
177,282,40.7916004,-73.9645142
178,5509,40.7858671,-73.9509262
179,4144,40.732315,-74.000511
180,8484,40.7130664,-74.0008728
181,16679,40.8076662,-73.9373376
182,297,40.7917186,-73.9628103
183,298,40.7082794,-74.0154267
184,9607,40.7845766,-73.9419969
185,16685,40.7994445,-73.9514947
186,8496,40.7237608,-74.0061172
187,16689,40.8006169,-73.9542998
188,16694,40.7995066,-73.9516448
189,2738,40.735204,-73.991692
190,16698,40.8114793,-73.9464014
191,315,40.7069397,-74.0150235
192,316,40.8144622,-73.9353726
193,317,40.8147789,-73.9361558
194,318,40.72077,-74.0080302
195,16703,40.8121691,-73.9421726
196,5894,40.7113899,-74.0086338
197,7976,40.756336,-73.9955588
198,16707,40.8122349,-73.9423303
199,4703,40.7428163,-73.9886495
200,12342,40.852339,-73.935716
201,16710,40.815692,-73.948677
